City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,mumford,5.2618,-0.759,299.59,83,53,1.85,GH,1707082210
300,vanimo,-2.6741,141.3028,299.22,90,100,1.76,PG,1707082211
301,djambala,-2.5447,14.7533,295.32,85,100,1.84,CG,1707082211
302,urangan,-25.3,152.9,299.93,84,77,2.68,AU,1707082211
303,gamba,-2.65,10.0,299.6,86,100,2.74,GA,1707082211
304,beloyarskiy,63.7119,66.6722,243.5,100,88,1.43,RU,1707082212
305,paraiso,9.8383,-83.8656,299.31,58,74,1.55,CR,1707081945
306,tuy hoa,13.0833,109.3,294.91,93,62,1.25,VN,1707082212
307,kargil,34.5667,76.1,255.49,87,75,3.28,IN,1707082212
308,sisimiut,66.9395,-53.6735,252.12,94,97,3.14,GL,1707082213
309,korla,41.7597,86.1469,267.49,73,100,2.76,CN,1707082213
310,uhrichsville,40.3931,-81.3465,285.24,32,0,2.57,US,1707082213
311,frontera,26.9333,-101.45,298.89,13,0,4.47,MX,1707082214
312,mizan teferi,6.9833,35.5833,290.0,93,71,0.75,ET,1707082214
313,erenhot,43.6475,111.9767,260.05,96,98,3.08,CN,1707082214
314,bodo,67.28,14.405,274.17,64,20,7.2,NO,1707082214
315,usinsk,65.9939,57.5281,245.97,100,29,1.34,RU,1707082214
316,kashgar,39.4547,75.9797,270.71,80,75,1.0,CN,1707082215
317,motru,44.8033,22.9719,281.52,75,67,4.45,RO,1707082215
318,puerto carreno,6.189,-67.4859,302.48,66,100,3.2,CO,1707082215
319,nanao,37.05,136.9667,276.08,75,100,4.39,JP,1707082215
320,floro,61.5996,5.0328,276.13,65,75,10.29,NO,1707082215
321,lahad datu,5.0268,118.327,296.83,95,90,1.97,MY,1707082216
322,susuman,62.7833,148.1667,244.25,99,100,1.34,RU,1707082216
323,kaohsiung,22.6163,120.3133,296.12,86,75,1.03,TW,1707081996
324,san patricio,28.017,-97.5169,298.2,36,0,9.52,US,1707082216
325,el alto,-4.2714,-81.2147,300.96,72,54,3.62,PE,1707082217
